posthumous	adj. 死后的
colossal	adj. 大量的
custodian	n. 监护人
nil	n. 零；无
rehabilitate	v. 康复，平反(恢复名誉)
endeavour	n.尝试 v.努力
beam	n.大梁，光线  v.发光
oblong	n.长方形，椭圆形 adj.长方形的(rectangular)
dispute	n.&v. 争论
plagiarize	v.剽窃；
palpitate	v.悸动，发抖
staple	n.订书机
inaugurate	v. 任命；举行就职典礼
percussion	n. 敲击乐器
guardian	n.监护人(custodian)
attorney	n.代理人；(辩护)律师
inherent	adj. 生来就有的；内在的
interrogate	v.审讯
screw	n.螺丝 v.用螺丝固定
magnify	v.放大(enlarge)
treble	adj.三倍的 n.最高声部
oblique	adj.斜的，隐射的(indirect); v.倾斜
leap	v.跳过，越过
lavish	adj.奢华的(luxurious,extravagant),浪费的
grate	n.壁炉，v.磨碎
rupture	n.破裂 v.断绝
ventilate	v.通风
bake	v.烘烤
deplore	v.谴责；痛惜
obedient	adj. 服从的
exploit	v.剥削；开拓
ominous	adj.不详的
gleam	v.发出微光；闪烁 n.微光
nicety	n.细节，讲究
gaily	adv.开心地
setback	n. 挫折
ammunition	n.弹药
haunt	v.(鬼魂)常出没于；n.常去的地方
vulgar	adj.下流的
atlas	n. 地图集
tenacious	adj.坚韧不拔的(persistent)
manifest	adj.显然的(clear) v.使显现(demonstrate)
abbreviation	n.缩写词；省略号
aggravate	v.激怒
dubious	adj.可疑的(doubtful）
grudge	n.妒忌，忿忿不平，v.不愿意做
reckon	v.估算；认为
sabotage	v.&n.罢工
deteriorate	vi. to become worse
pimple	n. a small raised red spot on the skin
pamper	v. 纵容；精心关照(cosset)
coincide	vi.一致；相符
predisposition	n.易染病体质；素质
versatile	adj.多才多艺的；有多种功能的
overture	n.前奏(music before opera or ballet); 开端
menace	n. 危险的人/氛围;威胁(threat) v.威胁
verbal	adj. relating to words
embody	v. 象征(represent)，体现(express)
suspend	v.悬挂；暂停；推迟
clearance	n. 清除；空闲；许可
batch	n. 一批
hover	v. 盘旋;徘徊
weil	vt.哀悼 vi. 恸哭；悲叹 n.痛哭
periodical	n. 期刊(especially学术类)
melodious	adj. 音调悦耳的
wither	v. 枯萎;凋谢(dries up or dies)
premise	n. 前提
stiff	adj. 僵直的(diffcult to bend or move);贵的(总体是个贬义词)
conservative	adj. 保守的 n.保守者
slab	n. 厚片;硬板
jam	n. 果酱 n.&v. 阻塞
gang	n. 以某种方式集结的一群人
shamble	v. 蹒跚，拖沓
deviate	v. 偏离；背离
strap	n. 带子 v.捆绑(通过使用strap)；包扎(bandage)
oversee	v. 监督(supervise)
equitable	adj. 公平的(fair)
indulge	v. 沉迷于(坏事)
autonomy	n. 人身自由(independence)
mishap	n. 不幸的事(常指没有导致严重结果的小事或坏运气)
stadium	n. 体育场
terrestrial	adj. 地球上的(一般指活物)
lap	n.大腿(上侧);一圈
deprive	v.剥夺；使丧失
plaster	n.灰泥；石膏 v.摸泥
fare	n. 交通费；taxi内的乘客 v.事情进行(get on)
impromptu	adj.&adv 即兴的(improvised)
prophecy	n. 预言
consequent	adj.作为结果的(resultant)
idle	adj.懒散的(lazy)；空闲的(unemployed),总体就是很not serious
aquarium	n.水族馆；鱼缸
shed	v. 流出(眼泪)；蜕皮；清理(不想要的东西)
sturdy	adj.强壮的(robust);坚定的(firm,determined)
monologue	n. 独白；长篇个人演说
flaunt	v.炫耀；飘扬
mischief	n.恶作剧
invalid	n.病人;残疾人/ˈɪnvəlɪd/
cordial	adj.热情的；友好的(pleasant and friendly)
pliable	adj.柔韧的(flexiable)
dissolve	v.溶解
moped	n.机动脚踏车(motocycle with pedals and engine)
ribbon	n. 缎带；丝带
exotic	adj. 奇异的;来自异国的
probation	n. 试用;缓刑;查看
stack	n.堆(一般放的很neat) v.堆积
domain	n.管区；势力圈；领域
compact	adj.小巧的;体积小的;紧密的
shutter	n.百叶窗；照相机快门
profile	n.档案;侧面轮廓;外形 v.扼要
mortgage	n.抵押贷款(花钱买房) v.抵押(用房换钱)
crystal	n.水晶；水晶做成的东西
mania	n. 狂热；癫狂(craze)
evade	v.躲避(~ the press)；逃避
integral	adj. 必需的；基本的
oblige	v.(以法律/义务)迫使；使感激；帮助
homestay	n. 寄宿家庭
tremendous	adj. 极大的;惊人的
adept	adj. 擅长的；
chin	n. 下巴
adjoin	v. 毗邻
shred	v. 撕成碎片 n.碎片
sterling	n. 英国货币 adj.优秀的；英币的
bloc	n. 集团
soluble	adj. 可溶解的
nostalgia	n. 怀旧之情，思乡病
observance	n. 庆祝；遵守
deem	v. 认为(consider)；知道；相信
fulfil	v. 履行；实现；满足
